id,page_id,section_id,title,content,order
d61164ed-3048-57f4-9879-c1ae8279a89f,33c85704-5e43-58be-a844-1ce4ef733365,introduction,Introduction ​,,1
b3f93a8e-2096-5c3b-9cd0-ee2c1281c5d1,33c85704-5e43-58be-a844-1ce4ef733365,what-is-weweb,What is WeWeb ? ​,"weweb.io is a no-code web-app builder where you can drag-and-drop different customizable blocks. Every time you hit publish, we build a JavaScript (Vue.js) application. Then, we prerender each page from it that we host on a content delivery network. Search engines can load them fast and read them easily, improving SEO and overall user-experience.",2
e1ae7e68-e832-5a41-9eda-91a734912207,33c85704-5e43-58be-a844-1ce4ef733365,core-concepts,Core concepts ​,"When you build a WeWeb web-app, you use two type of blocks: Sections and Elements (see below for difference). Under the hood, these two types of blocks are standard Vue components that have special props so that the WeWeb Editor can communicate with them. We provide a lot of base elements (like editable text or image), but you can also develop your own. They are fully customizable and, when you import them in a WeWeb project, they will be usable by builders inside the WeWeb Editor in the same way as our core components (i.e. you will be able to drag-and-drop them on a page and edit their style with no-code). Each element or section have what we call a content : it's a data object that holds your custom properties. There are two contexts when your element or section can be loaded: inside the editor (Editor mode) or inside the published web-app (Front mode). In Editor mode the content is editable by the user, and saved on our database on each change. In Front mode the content can only change if it is bound to a dynamic value. You can use the configuration file to use our build in logic to edit your section/element content, or handle yourself the edition interface . We have a strip logic available, so even if your element/section has a heavy editing logic, this will have no impact on the published web-app. You can learn more about stripping here Your custom components will inherit the base edition interface , like size, background color or border. Remember that a WeWeb user expects to edit them. You'll want to write your style and javascript with this in mind. If you want to provide values for these WeWeb properties (padding for example), we advise you to drop an instance of your component inside the Editor, change the needed values with the Editor interface, and then save them inside the Design System. The Component source code is responsible for handling content/custom logic, and the Design system is the way to save style/preset of your components.",3
6b7e8533-ab71-5a74-adb1-43bafbe25159,33c85704-5e43-58be-a844-1ce4ef733365,section-vs-element,Section vs Element ​,"A Section is a large block inside WeWeb. Sections are standalone, and cannot be used inside other components. They offer less edition option, but are easier to design because you have more control on the layout they will appear in (they will be a direct child of your page) An Element is a smaller block. Elements can be used by Sections or other Elements and can be repeated. You can learn how to create a custom component here .",4
2146ae25-a5a9-57c8-9060-9e66e74776dc,17f54beb-9627-5401-9115-5ece971ae78f,add-a-bindable-content-property,Add a bindable content property ​,"See the Development process to load a base element in dev mod. We will add a text property on our element, so that the user can dynamically change the text of the element.",1
26cd0f24-ec68-5e0e-a29f-cbf6742a7443,17f54beb-9627-5401-9115-5ece971ae78f,ww-config-js,ww-config_js ​,The first step is to declare this property on the properties field of the configuration:,2
9f6a502d-35dc-5b5d-82bf-030a5773c3e9,17f54beb-9627-5401-9115-5ece971ae78f,use-the-value-inside-the-template,Use the value inside the template ​,And that's all! See also : Add a dropzone for binding repeatable content,3
9c41db63-fe77-5ba6-a3ce-c23ef82a7f9e,ca7a3979-5c69-500e-9ebd-947f5619ac39,add-a-dropzone,Add a dropzone ​,"In WeWeb you can easily create a dropzone, an area where the user will be able to drop in any element. It's useful to build very flexible components. See the Development process to load a base section in dev mod. We will add a header dropzone instead of our title. The user will be able to drop containers, icons, etc...",1
f49c93d3-a466-5aa6-8687-72ba8e01dd10,ca7a3979-5c69-500e-9ebd-947f5619ac39,ww-config-js,ww-config_js ​,The first step is to declare a new property which will hold the references to all the elements dropped. We declare this property on the properties field of the configuration:,2
8f988ec8-253e-5ad9-bf9b-0f6a35b3ab85,ca7a3979-5c69-500e-9ebd-947f5619ac39,use-the-value-inside-the-template,Use the value inside the template ​,We will use a special component: wwLayout . Full documentation for wwLayout possibilities here We also need to add some style This is the simpliest way to use wwLayout . We just need to provide the path property which is the path inside the content to access our previously created array. We also give a direction so that the drop zone appears in the right way.,3
